-1.3430013954639435,-0.4484538899527656,-0.04300521148575677,-0.01138713707526525,-0.10744505127271016,0.5783904525968764,0.10877585079934862,-0.04453775452242957,0.3430650730927785,0.7962515271372266,0.38791053079896504,-0.10762168505849938,-0.03336396668520239,-0.13284670644336277,-0.13598244388898215,-0.8882013128863441,0.793245393368933,-0.5327686820593145,0.09527047894274195,-0.27897851003540886,-0.34739705671866733,-0.013117161062028673,0.43485914005173576,0.20476624038484362,0.2358549457664291,1.3250943039440446,-0.3408550802204344,0.705670064729121,-0.28192253778171206,0.5475289523601532,0.19792121690180567,0.6792969631238116,-0.21717536615000832,0.2976454761293199,0.2641473342147138,-0.12255960454543431,0.011653010216024186,0.700007771452268,-0.37727928306493497,0.2029435916079415,0.3537047637833489,-0.48860590491029954,0.2021651698483361,-0.7207376923826005,-0.624049622979429,-0.3335995342996385,-0.41587581237157184,-0.5740589946508408,-0.21072688533200157,-0.8573092785146501,0.24442656503783333,-0.2854650740822156,0.21911277539200252,-0.0020342721707291072,-0.2838005092408922,0.09493854641914368,-0.16465859942966038,-1.4598370119929314,-0.9169932636949751,0.07281312475485417,0.6265094627936681,-0.22087316380606759,-0.0957971281475491,0.09431508349047767,0.13117680450280508,-0.9096058391862445,-0.42775365130768883,0.609738772114118,0.5106799172030555,-0.14365890953275892,-0.6114830995599428,1.5459435159961383,-0.167023623155223,1.6750531527731154,-0.3018099192736877,-0.7328888128201166,0.2486684082282914,0.2365657202899456,0.9895539631446203,0.7347818778620826,-0.07679592693845431,-0.330260527630647,0.25582553611861336,0.5407683203617731,0.4833655950302879,-0.2759587996535831,-1.0367765848835309,-0.840084899837772,-0.4721829609738456,-0.388595725927088,0.23445594559113184,0.7467420730325911,-0.027436849143770006,-0.15570427808496687,-0.2022896425591575,0.38241831875509685,-0.06504527396625942,-0.10175573080778122,-0.19699591936336625,-0.014933781491385566,0.265399763153659,0.15469079837203026,-0.3428560615413719,0.391841649181313,0.4540067795250151,0.722828682925966,-0.5895843042267693,0.5053965581787957,0.5356094961365064,-0.15640431311395434,-0.8086240887641907,-0.0815830495622423,-0.5261067387958368,0.44497405489285785,0.16951232155164084,0.3724386261569129,0.7398055344820023,0.0994945928040478,0.1650167904380295,-0.5233606369131141,0.6855881411789192,0.37202897999021745,-0.6355154506034322,-0.208264602555169,-0.08184287365939882,-0.09010621341359284,-0.7409027318159739,-0.6828405343823962	37
1.036384352793296,0.4733814299106598,1.1582251191139221,0.19270888095100722,-0.555200107395649,-0.3926490644613902,0.6062919894854227,-0.7132043484598398,0.3455156733592351,0.5378436905642351,-0.4497934803366661,-1.315567006667455,0.2224408034235239,-0.16337492068608603,0.5275583925346533,1.139306655774514,0.9880232214927673,0.09207264333963394,-0.339247465133667,0.1662514532605807,-0.8583257695039114,1.357147713502248,-0.5366705854733785,0.43025756999850273,0.6517883067329725,-0.9384269025176764,0.29851135859886807,0.33631212015946704,0.05153870830933253,-1.517285630106926,-0.14128606021404266,0.16057986517747244,-0.19849819441636404,-1.5904998232920964,0.6430792137980461,0.33736745920032263,-0.5694279953216513,-0.0696379542350769,-0.5621069421370825,0.11302889883518219,0.7463089947899183,0.1289810985326767,0.3945261873304844,-0.7450900127490362,-1.5327622095743816,0.1757434383034706,-0.6211010167996088,0.024571117013692856,1.0814053372790415,-0.2342066615819931,0.41000056515137356,0.25614299873511,-0.17325957616170248,1.1083882528667648,-0.41588197151819867,-0.10517751922210057,-0.20031221210956573,-0.5966572215159734,0.790146159629027,-0.8491699977312237,-1.0629370806273073,-0.8848298241694769,-0.10100160290797551,0.06439432967454195,-0.5345414827267329,0.13292400042215982,-0.2239733518411716,-0.4518028063078721,-0.7826672345399857,-0.2798869725423477,0.0951108659307162,-0.7541845192511877,0.36993927881121635,1.2248707513014476,-0.055905147145191826,-0.5209783762693405,0.07100522766510646,-0.4248417615890503,0.0413963720202446,0.45278580486774445,-0.11714580158392589,0.7767284673949083,-0.1320767899354299,-0.5830193497240543,0.23527784024675688,0.636334682504336,0.04716962451736132,-0.5148805296048522,0.3950687277441223,0.8835435484846433,0.27521560216943425,1.4354234635829926,-0.6034959827860197,-0.10770894587039948,-0.47059398889541626,-0.47642066329717636,1.3920519935588043,-1.3873577589790027,-0.7078290606538454,-2.004219035307566,-0.6601741909980774,0.9650931308666865,0.39886730412642163,0.12311978886524837,0.4609042555093765,1.1928112879395485,0.19199899956583977,-1.151253377397855,-0.7089999541640282,0.28411808361609775,-0.5336611866950989,-0.0556560754776001,0.46991893152395886,0.15046406785647073,-0.5813514391581217,-0.02400972197453181,0.7714934969941775,0.3847914437452952,0.5426279157400131,-0.14160757511854172,-0.10710480812485912,-0.9177006329409778,-0.6672053250173727,-0.5251959332575401,0.10919957235455513,-0.09639652756353219,0.8108801345030466,0.654641717672348	12
0.1841235174374147,-0.7473654747009277,0.3967425897717476,-0.4348935701630332,0.1401859074831009,0.18381676010110162,-0.40539403598416934,0.5943275608799674,-0.34281656789508735,0.31192021165043116,0.1043141321702437,-0.2913346828427166,-0.166608344594186,0.18034010482105342,0.08657571266997945,-0.4853966791521419,0.5309048654003576,0.14794280024414713,-0.171639733820815,-0.20779888060959903,-0.11069339581511238,0.07977825809608806,0.35879437760873273,0.39778904540633614,0.47207131660120055,0.17731438340111214,0.1882911937480623,0.33086016232317145,-0.0028892985799095845,-0.1830982877449556,-0.09585621140219948,0.901210989464413,-0.018319755792617798,-0.4098654091358185,0.6059640750966289,-0.055192455649375916,1.0259123593568802,0.35309135439721023,0.7249590336260471,0.015375139022415335,0.40787844405382534,-0.12703664329918948,0.27219809278507123,-0.6800038177858699,0.0114336758852005,-0.03659841215068644,-0.8147346729582007,0.029751092872836372,0.8661538724872199,0.12647979401729323,-0.541167298501188,-0.03364768353375522,0.043222229589115486,0.3391848357648335,-0.3494993814013221,0.015196463601155714,-0.3487452393905683,-0.4674317617477341,-0.24493807283314792,-0.07166237519545988,-0.1865557147697969,-0.16948247497731989,-0.07008772588927638,0.11764647743918678,0.32985529642213474,0.5214334631508047,-0.1370786272666671,0.4142049957405437,0.38484554331411014,0.014193889092315327,-0.021487282081083817,0.6381830708547072,-0.07817090505903418,0.2457410848953507,-0.1758722203191031,-0.6903114413673227,-0.34037539769302716,-0.05991403834724968,0.4548943205313249,0.0807206928730011,0.004011030901562084,0.4037595804442059,0.5235891152511943,-0.3306740454652093,0.3943272287195379,0.3251886139200492,-0.44551297615874896,-0.2948486203835769,0.35312101685188035,-0.5189462304115295,0.16034511832351034,1.1274708279154517,0.20975569838827307,-0.05712561986663125,-0.2305076548999006,-0.21312905170700766,0.2521097439933907,0.3471965605223721,-0.05890562182123011,-0.3252347152341496,-0.8358137092807076,0.0418723313645883,0.318792307918722,0.3090095431967215,0.09732751734554768,0.6032025871629064,0.06655826068229297,0.17280754988843744,0.025828169320117344,-0.0889545821330764,-0.5801446890797127,0.004302018068053506,0.5457334738563407,0.23071657866239548,-0.2130742073059082,0.8383971452713013,-0.3479944291439923,-0.3528889905322682,0.1922197396104986,-0.8322079535573721,-0.5468418963930823,-0.617651413787495,-0.8596923154863444,-0.4942047623070804,0.030647082762284714,0.19877801158211447,-0.20179150321266867,0.2668693282387473	78
0.07515446706251665,-0.2554905732924288,-0.2163582765073939,-0.237249214773659,-0.2344678355888887,-0.3999079882421277,0.1578385423530232,0.3040272507139228,-1.004960366270759,0.1349074962464246,-0.386339571877298,-0.421345953554423,-0.19604952379383825,0.18908699398691003,0.0935561629858884,-0.6607815819707784,-0.3049606030637568,-0.7467453246089545,-0.14970640630715273,-1.51671711016785,0.39486606283621356,-0.5462199449539185,0.4086812680417841,-0.252125123007731,-0.10252234661443667,0.582489643923261,-0.16459179601886056,-0.4060905555432493,-0.2394415780753744,0.08567251205782998,0.17321546693247827,0.5331634347411719,0.15322992612015118,0.17895006998018784,0.15372195535085417,0.31729618392207404,0.6476095433939587,0.8018708554181185,0.0922959011725404,-0.2550662586634809,0.11695148186250166,-0.06549387696114453,-0.10810002718459476,-0.4456201764670285,0.4435750908133658,-0.14024314893917603,-0.09185734662142667,-0.6521143517033621,0.26994248174808244,-0.5062920559536327,-0.08220347355712544,-0.2266537384553389,-0.2304854460737922,0.057956080714410003,-0.27688768776980316,0.33137028867548163,-0.35874542085961864,-0.09991725466468117,-0.34688008813695476,0.29539922963489185,-0.12796913548796016,-0.35702997716990387,-0.08226677131923762,0.16669463095339862,-0.2198863276703791,0.5526504926383495,0.3642403449524533,0.21030352400107818,0.5141430192373015,-0.18193972199382683,-0.5291735157370567,0.9754776548255574,-0.46099789982492273,-0.37590969421646814,0.07288179275664416,-0.44161996380849317,-0.5882534303448417,-0.27490283752029593,0.4303767036815936,0.5693886849013242,-0.0921612431041219,-0.08522158861160278,0.7765839045697992,0.18298906494270673,0.06053351407701319,0.2576380145143379,-0.4551841040903872,-0.13128097101368688,-0.15886450406502595,-0.4418223093856465,-0.2821877551349727,0.4771650033918294,-0.3195176740938967,0.14805197648026727,-1.2517606588927181,-0.28030400384556164,-0.2500797753984278,0.24250576848333533,-0.27570756660266355,-0.4497596866620535,-0.40860315412282944,-0.285694802349264,0.20563985136422244,0.009651037102395838,0.21020288629965347,0.25355402447960596,0.7877888509538025,0.1783722278408029,-0.08269708061760123,0.2349392737854611,-0.6042028286240317,-0.5190153867006302,-0.5235687037083235,0.00876164436340332,0.4792661583897742,0.4377683787183328,-0.13310689242048698,-0.7250013541091572,0.0699289341203191,-0.4037526967850598,0.020179825665598564,-0.21187236227772452,-0.46454222229394043,-0.29888158494775946,-0.4128200300037861,0.05297658795660192,-0.23836014352061533,-0.0853390520946546	60
-0.05711977952159941,-0.32649964233860373,0.6910867765545845,-0.32613156613660976,0.44663267955183983,0.24304208159446716,-0.9139700205996633,-0.22447064518928528,-0.45112015679478645,0.5996065735816956,-0.5286771953105927,-0.7293561398983002,-1.2238566018640995,-0.7261780239641666,0.5971295237541199,-0.6437172889709473,0.954726442694664,0.07736635208129883,0.5417354442179203,-0.4391149580478668,0.19115217588841915,0.021382905542850494,0.4342193817719817,0.5733219087123871,-0.19114761799573898,-0.1452439557760954,-0.5477484688162804,-0.17839649319648743,0.7390006221830845,0.7290856838226318,-0.28222115337848663,1.0331476256251335,-0.5170226618647575,-0.7550263777375221,1.6059028208255768,0.037401001900434494,1.249352665618062,-0.17292099073529243,-0.7013462409377098,0.8398571014404297,0.8735698722302914,-0.0840354710817337,0.1220695972442627,-0.16573786735534668,0.05083814263343811,-0.6620132252573967,-1.9612251818180084,0.4993682950735092,0.853559136390686,0.39294910430908203,-0.09419335052371025,-0.11743263155221939,0.9756309129297733,0.3470551669597626,0.2441743165254593,-0.41995421051979065,-0.13540391623973846,-0.5440302863717079,0.7865315526723862,-0.5387779083102942,-0.31764621660113335,-0.6326687689870596,-0.15694584418088198,-0.20335495471954346,0.38861161284148693,-0.3863781513646245,-0.22160309553146362,-0.10697408765554428,-0.8695215135812759,-0.34798288345336914,0.35975824762135744,0.3305147998034954,-0.1324944980442524,-0.4585638791322708,0.017928332090377808,-0.8307563848793507,-0.40496496856212616,-0.5115987285971642,-0.08283184468746185,0.14775318652391434,0.7797532826662064,-0.1155000813305378,0.35188885778188705,0.2658722326159477,0.6037040452938527,0.8670212561264634,0.15733271278440952,0.12481876090168953,0.4627300165593624,-0.22197097539901733,0.7662936635315418,0.573280856013298,-0.27646533213555813,0.12053268402814865,0.304837703704834,0.02410256490111351,1.1265230178833008,0.7736356388777494,-0.46164552867412567,-1.068741500377655,-0.8049997501075268,1.4035679921507835,0.5578317791223526,0.24986111745238304,0.4366015577688813,0.35847945511341095,-0.07144826650619507,-0.7361948117613792,-0.21529310755431652,-0.8177271485328674,-0.04895235691219568,0.2438407689332962,-0.5032733269035816,-0.042731091380119324,-0.5211846940219402,0.641416821628809,0.7264706511050463,-0.18180552124977112,0.05747012794017792,-0.16270429268479347,-0.4451501374132931,0.05436039716005325,-0.7834195196628571,0.0877513699233532,-0.4938013553619385,1.0160925164818764,0.7452879548072815,-0.2286122664809227	105
-0.11035606690815516,0.8254592035497937,-0.3344165842447962,-1.113022838320051,-0.5638728269508907,1.0983365976384707,0.4270120177950178,0.08239357013787542,-0.30977864457028254,-1.1997302123012819,0.12597001024654933,1.0297736717121941,0.24965351660336768,0.6283634698816708,0.05265092423983982,1.46019011842353,0.10364398785999843,0.003113006906849997,0.15901496154921396,1.1036068690674645,0.4093935771712235,0.7617739864758083,0.3087677146707262,-0.1344449105007308,0.9678528773199234,0.20071161644799368,2.2056207188538144,-0.1251433449132102,1.606505628143038,-0.0331662403685706,-1.0212681304131235,1.3340807599680764,-0.02384811214038304,0.3891313948801586,1.0890931423221315,-0.9247319847345352,0.2885042056441307,0.7839406728744507,0.4339131606476648,-0.12840173074177333,-0.16262152099183627,0.3174859072480883,1.8304709206734384,-0.08444226639611381,1.1104879725192274,0.20983669022098184,0.9162369136299405,1.5957166935716356,-0.43424854055047035,0.9681264247213092,-0.3761158734560013,0.42934997379779816,0.10056331753730774,-0.07446144308362689,-0.3172685977603708,0.2699300114597593,1.7015394823891776,0.3072052526154688,0.45418350611414227,0.6701423206499645,0.02674979736496295,0.39882626278059824,0.21637198541845595,-0.4066878381584372,-1.402213684150151,0.4899389828954424,-0.6370098420551845,0.2578344611184938,-0.7225925102829933,-0.869719905841131,0.23718368834150688,-0.6229000219276973,-0.2107873037457466,-1.6983307323285513,-0.8111414781638554,0.0379487228180681,-0.18858033205781663,-0.024387815168925693,-0.12439366696136338,1.6636570798499244,0.9435299464634487,0.3859623542853764,1.344847020293985,-0.19464890658855438,0.6340397372841835,-0.33809620780604227,-0.26197258329817225,-0.6997815939996924,-1.1168380294527327,-0.9506906654153552,-0.06849271750875882,-0.23536328279546329,0.9474534349782127,0.24474670259015902,1.3363805966717857,-0.007831709725516183,-0.470583690064294,0.3753652700356075,1.2543114168303353,0.3921613544225693,-0.3955233373812267,0.3973238678382976,0.013601153024605342,-0.3730835398393018,-0.14676724693604878,-0.3661339751311711,-0.24411880437816894,-0.6381969579628536,-2.0460883527994156,0.4478135619844709,0.5457790834563119,0.6354453648839679,0.17774303896086557,-0.007983931473323278,0.09027796371706895,-1.2339297501104218,-1.0747558325529099,0.5120555034705571,1.3041814139911108,1.1997766579900468,-0.9954130223819188,-2.1828584858615483,0.7746472230979374,1.1683670346226012,1.3874387634652001,-0.21305808744260243,-0.003798520990780422,0.6168898301465171	51
0.49165164795704186,0.7051020357757807,-0.6585202738642693,-0.9113831170834601,-0.24658536165952682,0.0753370764432475,1.052854971960187,0.20472539030015469,-0.275635639205575,-0.44134545885026455,0.24817448295652866,0.04592546075582504,0.46911265049129725,0.30148598924279213,-0.2627017879858613,0.2976644625887275,0.19365094951353967,0.4487738641910255,0.9480947218835354,0.6230287905782461,0.08837386267259717,-0.7911489456892014,-0.4921074144076556,-0.09131938312202692,-0.055108112283051014,-0.24820366129279137,0.4384132120758295,0.4096147418022156,-0.7188605321571231,-0.18003717064857483,-0.1511569363065064,0.9346277788281441,-0.2717578075826168,-0.48299095779657364,0.6283753662719391,-0.4212443046271801,0.5716849970631301,0.38696782902115956,-0.001852464396506548,0.6247227266430855,-0.14278009859845042,-0.18918069452047348,0.7171361641958356,-0.8330814950168133,-0.07940665632486343,1.1144421860808507,-0.2863977751112543,0.10274175368249416,-0.5099128480069339,0.16676431149244308,0.17454026732593775,0.06364055164158344,-0.10863603523466736,0.3157632779330015,-0.4004009694326669,-0.8026880258694291,0.2462833859026432,0.40089347306638956,-0.0021143690682947636,-0.05707432376220822,-0.22657894232543185,0.28992531448602676,0.2807381581515074,0.06882939810748212,-0.5537659451365471,0.3161610718816519,0.07476243004202843,-0.11546619888395071,-0.05334647838026285,-0.06850266671608551,-0.4716799599118531,0.037842294201254845,-0.16061390656977892,-0.4633697643876076,-0.3453149127308279,0.0322390403598547,-0.630042027682066,0.20913341362029314,-0.6775068081915379,0.865546315908432,0.46440971456468105,1.2188216103822924,0.510892802849412,-0.11190038174390793,-0.6034233504906297,0.7063418030738831,-0.44942436227574944,-0.5057097389362752,0.00158645398914814,0.13407938554883003,0.14502669870853424,0.6109091900289059,0.3346916027367115,0.988663949072361,0.8438766747713089,-0.03025401569902897,-0.5405976390466094,0.022277544252574444,0.3625610340386629,-0.364543117582798,-0.7045875356998295,0.9567250031977892,0.0909931967034936,0.37389687448740005,-0.04901384422555566,-0.4354898591991514,-1.2426629411056638,-0.9911865387111902,-0.7992049902677536,-0.03977179108187556,0.24937253445386887,0.14619264751672745,0.5368495881557465,0.1651210803538561,-0.8995975749567151,0.1260120663791895,-0.5414077490568161,-0.12527783308178186,0.402518252376467,0.08597321808338165,-0.37042524479329586,-0.6762016030261293,0.505280576646328,0.3794619347900152,0.700848801061511,0.20721563696861267,0.4812417980283499,0.07680721953511238	51
-0.08473562342779976,-0.9297443628311157,2.235279372760228,0.40854137051584466,0.8803266946758542,-1.0720646636826652,-1.344229900411197,0.25402113795280457,-0.008407748171261378,0.8286950630801064,0.40221701349530903,1.3119432032108307,-0.41468402849776403,-0.049053198524883816,0.9844308335866246,-0.9664537448968206,0.5671928320080042,0.7724757891680513,-0.20068993525845663,0.3086930534669331,-0.4616082087159157,1.1480586993108903,0.5442846204553332,0.5914349449532372,1.1706220975943975,1.1051929550511497,-0.46131315055702415,1.3683214698519026,1.5043901556304522,1.6484336512429374,-1.0418628374380725,0.2609402281897409,1.7161966349397386,-0.44428856670856476,0.09634418572698321,-1.5702990995986121,-0.31130582998905865,0.843682165656771,-0.7005628986018044,0.46301615451063427,1.5575250600065504,1.015850662120751,0.2309408602969987,-1.2817345815045493,-0.5906102976628712,-0.028331469212259566,-0.29435484749930246,0.6744003806795392,0.327613254742963,-0.18185951773609435,-0.2489355400736843,0.21732725415910994,0.21358055235551937,-0.6768205346805709,-0.9760487122195107,-0.11451596660273415,-1.3978954862271036,-0.3098876199551991,-1.4047224846269404,0.0841586823974337,0.023431045402373587,0.07053994280951363,-0.08769972835268293,1.031276170696531,0.4321011134556362,-1.2770433851650782,2.5119100298200337e-06,0.7088895610400608,1.5502050817012787,-1.047897172825677,-0.7026043832302094,1.4339487786803926,-0.19345998976911818,0.16310930039201463,-0.7908652508631349,-1.0603664836713247,0.4762837822948183,-0.3575764649680683,0.2836300504526922,1.4128175037247794,0.18007182542766845,0.16035909897514752,-0.7945966294833592,0.3567832623209272,-0.17275505832263402,0.051483826977866035,0.757584844316755,-0.22946800078664506,0.5401328546660287,0.8674195238522121,0.4157855191401073,-0.3039259474192347,-0.9949368749346051,-0.5030231603554317,0.2365149078624589,-0.361315450498036,0.04890836562429156,1.2311610068593706,-0.7109969279595784,0.5692779432450022,0.7974337533648524,0.49179198699338095,-0.25481282813208445,0.17684342339634895,-0.24934145595346177,0.7525450544697898,-1.3082897854702813,1.6358901602881295,-0.24841901899448462,0.7402354734284537,0.1996231164251055,0.9032767968518394,-0.5614973838840213,0.45407759078911375,-1.2108316916440214,0.7812283113598824,-0.7566137356417519,0.13183256451572692,-0.5720397680997849,0.9088221507679138,1.6022759207657404,0.7287939361163548,-0.9748851380177906,-1.164351544209889,-0.24929993067468917,0.9440346232482365,-1.7305003149168832,-1.4259837056909288	103
-0.6004839816263744,0.026091688445636203,-0.5399715305705156,0.3407659945743425,-0.42809413905654636,0.11967891481305871,0.6718201137014798,-0.5791483862059457,-0.3250743108136313,-0.6592388259513038,-0.6035785930497306,0.518464095890522,0.13902865775993892,0.13515529169567994,0.0939837114087173,-0.3547756922032152,-1.412142135868115,-0.30321425651865347,-0.3402943323765482,-0.46093336758869036,0.29486691526004244,-0.4412654060870409,-0.31641886809042524,-0.1759049312344619,-0.9318558571061918,0.16824621121798242,0.7674293499439955,-0.10294318784560476,0.4622870566922107,-0.1837372151868684,0.15114708058536053,-0.025417402253619263,-0.2704602328262159,0.20566761121153831,0.7241552940436772,-0.021849490702152252,-0.22498959861695766,-0.017540542674916133,-0.1582539209297725,0.5475902099694524,-0.050833615607448986,-0.21296138688921928,-0.24990497270066822,-0.2307695240846702,1.0097373346132892,-0.5290761696440833,0.5618146785667965,-0.31180151525352684,-0.32074376727853504,0.16848361705030715,-0.31672375595995356,0.06922378284590584,-0.40545661807326333,-0.3036023037774222,-0.5563042004193578,0.2276750792350088,0.44783647092325346,0.8567583113908768,-0.5315540350441422,-1.3551594513867582,-0.5234989698510617,0.4706884953858597,0.43428161926567554,0.11570910151515688,0.31646033589329037,-0.17419855270002568,0.3010818548500538,-0.945894366396325,0.35394186100789476,0.11442812143234603,-0.3412715821926083,0.13461938733235002,-0.06362735054322652,-0.47456638674650875,-0.20381537878087588,-0.08753867553813117,-0.05870878683137042,0.08770142063232404,-0.35208494641951155,0.17452664460454667,0.09985813897635255,-0.9702400118112564,0.5306703043835503,0.0018378953848566329,-0.32656292244791985,-0.08752240240573883,-0.950354339820998,-0.17205468990973063,-0.37508388329297304,-0.6126850119658879,-0.627580253141267,0.45200282441718237,-0.184038301131555,0.0161651149392128,-0.720898914550032,0.20001466678721563,-0.6908184824777501,0.18110134386058366,-0.6839849650859833,-0.19249915278383664,-0.34750207766358343,0.5597511215933731,0.0026100131550005506,-0.13315088059919486,0.13780303049965628,0.13602680500064576,-0.2245612863417981,-0.6310886176569122,-0.04595868183033807,0.92976832815579,-0.47153552242421676,-0.47354590041296823,-0.31247238868049215,0.2846743453826223,0.5362618703927312,-0.21099545726818697,0.15133387276104518,0.16623256621616228,-0.1394682695556964,-0.39525224694183897,0.2731359858464982,-0.266429838125727,0.9149792423205716,0.4557528442570141,0.06774064552571092,-0.6588010191917419,-0.27694020992411034,-0.6751429521079574	31
0.02849213101647117,0.39457219195636833,-1.1611714579842307,1.5023818002505736,-0.4973438620059328,-0.5864151893395253,-0.40615477673286066,-1.7968069342049686,-0.28233718601140106,-0.9635063247247175,0.9090552197938616,-0.34295898472720926,-1.0021329034458508,-0.33865721997889603,0.997955574569377,0.6327838572588834,-1.0726979782974178,-0.4312116073613817,0.07703844796527516,-0.1418461720035835,0.5875932235609401,-0.26969231258739124,-1.6492008858106353,-0.41474871506745165,-0.3991334621201862,-0.7803542031483217,-0.20196544920856302,-0.3904740573330359,1.4925659278577024,0.7249698069962588,-0.8902432163330641,-0.7682950903068889,0.5003070946444165,1.131999565119093,-0.16778293895450505,0.8144833012060686,-0.3891109624369578,-0.1392203908074986,-0.15576614845882764,0.34420268508520996,0.03670059415427121,1.3747065527872606,-0.6154421784661033,1.0368287868120454,1.11926599659703,-0.06941256672143936,0.8947582542896271,0.9101881486448374,-0.49836260080337524,0.17287392236969687,0.18426222472705625,0.008423589847304604,-0.4178098622201519,0.15861806544390591,-0.5484954462471333,-0.9962221929295496,0.9601536464284767,-0.07887051974169233,-0.40374402193860576,-0.4018356976183978,-0.22482161782681942,-0.23363834585655818,-0.19130894270810214,0.44308404095301573,-0.18771891837770288,-0.4612817967479879,0.5301656126976013,-0.1191051182421771,0.43575547500090167,0.8165322413498705,0.7260778597132727,0.3054291538216851,-0.3167888495901769,-1.3144844607873396,1.1632829633626072,0.9833110868930817,-0.04937450587749481,-0.15587287125262347,-0.19233425232497128,-0.2875461226159876,0.5506419688463211,-0.5373633039945905,-0.505347724665295,-1.1745993251150304,0.15786576000126926,0.583665856583552,1.320087743076411,-0.44737654382532294,0.7309028208255768,1.2887754155830904,-0.10815683142705397,0.6705554855818098,0.8540978060865944,-0.2288552224636078,-0.5928533741018989,0.6086648323319175,1.7889251654798335,-0.8007672862573103,-0.18321062488989395,0.050491709262132645,-0.17174343883313917,0.11909440464594147,-0.2663159966468811,-1.019261121749878,-0.694092532323504,-1.1189318041909824,-0.45997013558040967,-0.5496882444078272,0.6227091442454945,0.42339828390289436,-0.6694967306473039,1.091250017793341,0.04596195640889081,0.5611976679753173,0.2021998573433269,-0.44625290483236313,1.0177821097048847,0.824903083795851,1.120954116213728,0.6460805216973479,0.24915763871236282,-0.4098463590172204,0.7718347907066345,-0.6121130186048421,-0.7005267305807634,-1.41208770444659,0.20478326895020224,-0.02111746167594736	113
