f1 score micro: 0.6450962378722356, f1 score macro: 0.5234532171451397
aaai	0.5553602811950791	0.5984848484848485
aamas	0.8417910447761194	0.8080229226361032
acc	0.7777777777777778	0.06422018348623854
acm_multimedia	0.3940774487471526	0.45646437994722955
acm_trans._graph.	0.0	0.0
amcis	0.854122621564482	0.6075187969924812
amia	0.8271604938271605	0.5537190082644629
asp-dac	0.8707865168539326	0.48589341692789967
bioinformatics	1.0	0.058823529411764705
cdc	0.8419753086419753	0.8090154211150652
chi	0.8531073446327684	0.722488038277512
chi_extended_abstracts	0.4649532710280374	0.7007042253521126
cikm	0.7790697674418605	0.53315649867374
cogsci	0.9405940594059405	0.8755760368663594
coling	0.925531914893617	0.7111716621253406
commun._acm	0.2857142857142857	0.029411764705882353
compsac	0.8425925925925926	0.6148648648648649
comput._graph._forum	0.0	0.0
comput._j.	0.0	0.0
computer_communications	0.0	0.0
computer_networks	0.0	0.0
corr	0.0	0.0
cvpr	0.8134920634920635	0.6913996627318718
dac	0.8459214501510574	0.6278026905829597
date	0.8417721518987342	0.5428571428571428
ecai	0.7560975609756098	0.3315508021390374
ecis	0.8311688311688312	0.4987012987012987
embc	0.8643410852713178	0.652046783625731
encyclopedia_of_database_systems	0.3199152542372881	0.5016611295681063
etfa	0.9459459459459459	0.6862745098039216
eurospeech	0.8786407766990292	0.5691823899371069
eusipco	0.5124378109452736	0.3626760563380282
expert_syst._appl.	0.0	0.0
focs	0.8197674418604651	0.5444015444015444
fskd	0.864406779661017	0.5294117647058824
fundam._inform.	0.0	0.0
fusion	0.8041666666666667	0.6748251748251748
fuzz-ieee	0.8771498771498771	0.7285714285714285
gecco	0.8830769230769231	0.7454545454545455
globecom	0.37442713107241066	0.6175359032501889
hicss	0.6464646464646465	0.7828746177370031
icalt	0.9311594202898551	0.7603550295857988
icarcv	0.794392523364486	0.3159851301115242
icassp	0.5171733122779313	0.7882069795427196
icc	0.4377104377104377	0.47101449275362317
iccad	0.8267326732673267	0.5529801324503312
iccs	0.8841463414634146	0.6872037914691943
iccv	0.72	0.33088235294117646
icdar	0.8455598455598455	0.7711267605633803
icde	0.6654929577464789	0.5510204081632653
icecs	0.8010752688172043	0.5085324232081911
icip	0.7288306451612904	0.7634635691657867
icis	0.7560975609756098	0.457002457002457
icmc	0.9458128078817734	0.8827586206896552
icme	0.7483443708609272	0.6277777777777778
icml	0.7828282828282829	0.5871212121212122
icnc	0.7982456140350878	0.43333333333333335
icpr	0.8013468013468014	0.5219298245614035
icra	0.6809933142311366	0.7953151143335192
icse	0.9402390438247012	0.7283950617283951
icslp	0.8471337579617835	0.46996466431095407
ieee_computer	0.0	0.0
ieee_congress_on_evolutionary_computation	0.5662878787878788	0.7550505050505051
ieee_journal_on_selected_areas_in_communications	0.0	0.0
ieee_software	0.0	0.0
ieee_trans._computers	0.0	0.0
ieee_trans._information_theory	0.0	0.0
ieee_trans._knowl._data_eng.	0.0	0.0
ieee_trans._parallel_distrib._syst.	0.0	0.0
ieee_trans._pattern_anal._mach._intell.	0.0	0.0
ieee_trans._software_eng.	0.0	0.0
igarss	0.9649805447470817	0.9358490566037736
ijcai	0.7668539325842697	0.726063829787234
ijcnn	0.8422273781902552	0.6685082872928176
inf._process._lett.	0.0	0.0
inf._sci.	0.0	0.0
infocom	0.7853736089030207	0.7159420289855073
int._cmg_conference	0.824	0.5754189944134078
interspeech	0.8555008210180624	0.8322683706070287
ipdps	0.8844984802431611	0.6481069042316259
iros	0.6022799240025333	0.679771265189421
isbi	0.8682170542635659	0.8057553956834532
iscas	0.45496750232126276	0.5511811023622047
iscc	0.6914285714285714	0.3746130030959752
isit	0.9360613810741688	0.7956521739130434
itc	0.8447368421052631	0.7101769911504425
j._acm	0.5714285714285714	0.125
j._parallel_distrib._comput.	0.0	0.0
j._symb._log.	0.0	0.0
journal_of_systems_and_software	0.0	0.0
kdd	0.8333333333333334	0.6694560669456067
lcn	0.8875	0.4965034965034965
lrec	0.9362880886426593	0.7331887201735358
multimedia_tools_appl.	0.0	0.0
neuroimage	0.0	0.0
nips	0.8942917547568711	0.7193877551020408
pacis	0.87248322147651	0.4452054794520548
pattern_recognition	0.0	0.0
pdpta	0.9204545454545454	0.5382059800664452
pimrc	0.64746772591857	0.7260579064587973
robio	0.7857142857142857	0.43564356435643564
sac	0.7828947368421053	0.6187175043327556
siam_j._comput.	0.0	0.0
sigcse	0.9853372434017595	0.8571428571428571
sigir	0.846441947565543	0.6438746438746439
sigmod_conference	0.10178117048346055	0.4013377926421405
smc	0.20638375045339136	0.653272101033295
soda	0.919431279620853	0.6643835616438356
softw.,_pract._exper.	0.0	0.0
stoc	0.8677248677248677	0.5273311897106109
theor._comput._sci.	0.0	0.0
vlsi_design	0.44966442953020136	0.24723247232472326
vtc_fall	0.1494661921708185	0.08061420345489444
vtc_spring	0.44479166666666664	0.706953642384106
wcnc	0.5930599369085173	0.4814340588988476
winter_simulation_conference	0.6445454545454545	0.8121420389461627
